Location,Temp,Replicate,Habitat,MR_WW,MR_AFDW,MR_MetTiss,VO2,MR_MassIndep,Treatment,Rep_2
Biscayan Cove,22,18,Kelp,0.027336,0.2924672,0.03015448,2.009659,1.09636837,Acute,54
Biscayan Cove,26,1,Barren,0.03127833,0.5745171,0.03307926,2.133182,0.894099904,Ramp,1
Biscayan Cove,26,2,Barren,0.02630103,0.4461439,0.02794866,2.133014,0.698763121,Ramp,2
Biscayan Cove,26,3,Barren,0.02094962,0.4213296,0.02204579,1.435049,0.191428099,Ramp,3
Biscayan Cove,26,4,Barren,0.02444815,0.4563228,0.02583215,1.743153,0.457169881,Ramp,4
Biscayan Cove,26,5,Kelp,0.02644583,0.2903159,0.02909631,2.636649,0.92099197,Ramp,5
Biscayan Cove,26,6,Kelp,0.02753083,0.3910885,0.02961564,2.158417,0.765015402,Ramp,6
Biscayan Cove,26,7,Kelp,0.02740933,0.4111887,0.02936689,2.313347,0.829169221,Ramp,7
Biscayan Cove,26,8,Kelp,0.03187404,0.5344109,0.0338957,2.412865,1.060312679,Ramp,8
Biscayan Cove,26,9,Kelp,0.02954041,0.4046214,0.03186693,3.143099,1.326075236,Ramp,9
Biscayan Cove,26,10,Barren,0.02932505,0.7198105,0.03057049,1.401675,0.53514442,Acute,55
Biscayan Cove,26,11,Barren,0.02082354,0.4407527,0.02185614,1.252777,0.40579068,Acute,56
Biscayan Cove,26,12,Barren,0.02453406,0.5662666,0.02564516,1.109013,0.236444182,Acute,57
Biscayan Cove,26,13,Barren,0.02496122,0.4755587,0.02634396,1.630003,0.778995914,Acute,58
Biscayan Cove,26,14,Kelp,0.02410942,0.4401175,0.02550666,2.041058,1.080362534,Acute,59
Biscayan Cove,26,15,Kelp,0.03061476,0.4923098,0.03264481,1.897611,1.04965602,Acute,60
Biscayan Cove,26,16,Kelp,0.02603128,0.3695988,0.03073867,1.525025,0.677837039,Acute,61
Biscayan Cove,26,17,Kelp,0.02807535,0.3262907,0.03076945,1.478886,0.624717532,Acute,62
Biscayan Cove,26,18,Kelp,0.02624059,0.3445969,0.02840348,1.569882,0.723106754,Acute,63
Biscayan Cove,30,1,Barren,0.02926969,0.5376227,0.03095497,1.996193,0.757110904,Ramp,1
Biscayan Cove,30,2,Barren,0.02796244,0.4743263,0.02971415,2.267754,0.833503121,Ramp,2
Biscayan Cove,30,3,Barren,0.02509932,0.5047867,0.02641263,1.719303,0.475682099,Ramp,3
Biscayan Cove,30,4,Barren,0.02587856,0.4830214,0.02734353,1.845142,0.559158881,Ramp,4
Biscayan Cove,30,5,Kelp,0.02342634,0.2571687,0.0257742,2.335606,0.61994897,Ramp,5
Biscayan Cove,30,6,Kelp,0.02877307,0.408735,0.03095195,2.255809,0.862407402,Ramp,6
Biscayan Cove,30,7,Kelp,0.02874552,0.4312339,0.03079851,2.426122,0.941944221,Ramp,7
Biscayan Cove,30,8,Kelp,0.02885038,0.4837151,0.03068025,2.183973,0.831420679,Ramp,8
Biscayan Cove,30,9,Kelp,0.02324863,0.3184417,0.02507964,2.473655,0.656631236,Ramp,9
Biscayan Cove,8,,Kelp,,,,,,Ramp,1
Biscayan Cove,12,,Kelp,,,,,,Ramp,2
Biscayan Cove,14,,Kelp,,,,,,Ramp,3
Biscayan Cove,16,,Kelp,,,,,,Ramp,4
Biscayan Cove,18,,Kelp,,,,,,Ramp,5
Biscayan Cove,20,,Kelp,,,,,,Ramp,6
Biscayan Cove,22,,Kelp,,,,,,Ramp,7
Biscayan Cove,24,,Kelp,,,,,,Ramp,8
Biscayan Cove,26,,Kelp,,,,,,Ramp,9
Biscayan Cove,28,,Kelp,,,,,,Ramp,1
Biscayan Cove,30,,Kelp,,,,,,Ramp,2
